Slice,Mean
1,1.55627
2,1.52753
3,1.52972
4,1.55322
5,1.53192
6,1.52472
7,1.57245
8,1.56897
9,1.55804
10,1.56085
11,1.58069
12,1.53339
13,1.57336
14,1.56653
15,1.58832
16,1.58093
17,1.57184
18,1.52979
19,1.52185
20,1.53137
21,1.53180
22,1.50598
23,1.49872
24,1.51721
25,1.54413
26,1.52728
27,1.52350
28,1.55127
29,1.52686
30,1.51154
31,1.52692
32,1.50500
33,1.53107
34,1.53259
35,1.53046
36,1.51318
37,1.51404
38,1.51056
39,1.55603
40,1.55878
41,1.55194
42,1.55725
43,1.52380
44,1.56586
45,1.55798
46,1.54346
47,1.50409
48,1.51666
49,1.51062
50,1.49817
51,1.51050
52,1.51758
53,1.52203
54,1.53247
55,1.51434
56,1.51575
57,1.51581
58,1.51770
59,1.53729
60,1.50574
61,1.52448
62,1.52283
63,1.51294
64,1.48010
65,1.47437
66,1.51538
67,1.53619
68,1.50891
69,1.52069
70,1.48779
71,1.52832
72,1.54077
73,2.32220
74,2.31342
75,2.31287
76,2.33154
77,2.30640
78,2.34155
79,2.33490
80,2.31769
81,2.34796
82,2.33075
83,2.32367
84,2.31750
85,2.34808
86,2.31348
87,2.31494
88,2.33685
89,2.33539
90,2.34369
91,2.30286
92,2.30566
93,2.30603
94,2.34052
95,2.34406
96,2.36237
97,2.33826
98,2.34857
99,2.32404
100,2.30981
101,1.42590
102,1.42969
103,1.43378
104,1.43341
105,1.45868
106,1.46716
107,1.44293
108,1.43958
109,1.43994
110,1.44733
111,1.45514
112,1.45093
113,1.46771
114,1.46490
115,1.44757
116,1.46143
117,1.45526
118,1.05841
119,1.36755
120,1.38751
121,1.38879
122,1.38623
123,1.37927
124,1.37946
125,1.38501
126,1.36993
127,1.37415
128,1.39746
129,1.38373
130,1.37762
131,1.36548
132,1.38031
133,1.34930
134,1.35126
135,1.37622
136,1.37085
137,1.38379
138,1.36938
139,1.37872
140,1.37061
141,1.37799
142,1.38300
143,1.37488
144,1.36853
145,1.37244
146,1.38965
147,1.36047
148,1.33270
149,1.33588
150,1.34094
151,1.34222
152,1.30902
153,1.32745
154,1.35602
155,1.29449
156,1.26813
157,1.30957
158,1.28162
159,1.28705
160,1.31213
161,1.29578
162,1.28339
163,1.30322
164,1.30621
165,1.32898
166,1.32306
167,1.28473
168,1.29395
169,1.30780
170,1.28711
171,1.27454
172,1.27942
173,1.28528
174,1.26471
175,1.27985
176,1.28345
177,1.28784
178,1.28680
179,1.28363
180,1.28204
181,1.27643
182,1.26996
183,1.23694
184,1.27850
185,1.27234
186,1.27057
187,1.28113
188,1.24207
189,1.26489
190,1.30890
191,1.30133
192,1.26099
193,1.27698
194,1.27344
195,1.27875
196,1.24854
197,1.26141
198,1.26776
199,1.26892
200,1.24091
201,1.26776
202,1.25311
203,1.03192
204,1.03656
205,0.45636
206,1.98236
207,1.95648
208,1.92896
209,1.93469
210,1.96869
211,1.99048
212,1.98303
213,1.98938
214,1.96136
215,1.94952
216,1.95435
217,1.93573
218,1.87854
219,1.94952
220,1.90979
221,1.89917
222,1.91058
223,1.85425
224,1.88666
225,1.89557
226,1.91602
227,1.94666
228,1.94373
229,1.94116
230,1.95679
231,1.94873
232,1.92078
233,1.95142
234,1.88678
235,1.93359
236,1.91986
237,1.95355
238,1.95203
239,1.93793
240,1.93903
241,1.93927
242,1.96680
243,1.96790
244,1.97351
245,1.97601
246,1.94226
247,1.96057
248,1.97504
249,1.30182
250,1.29620
251,1.29663
252,1.30725
253,1.29462
254,1.29816
255,1.28003
256,1.29437
257,1.29907
258,1.30603
259,1.28827
260,1.28149
261,1.28717
262,1.27563
263,1.27161
264,1.28033
265,1.29565
266,1.28790
267,1.30725
268,1.29187
269,1.29413
270,1.28741
271,1.28033
272,1.29663
273,1.28625
274,1.31232
275,1.30023
276,1.29614
277,1.31470
278,1.30402
279,1.30542
280,1.31116
281,1.31714
282,1.29395
283,1.29181
284,1.29944
285,1.34387
286,1.31470
287,1.31580
288,1.31769
289,1.32111
290,1.31006
291,1.31415
292,1.32086
293,1.30481
294,1.29907
295,1.30975
296,1.30927
297,1.30493
298,1.31927
299,1.30945
300,1.31708
301,1.31091
302,1.30518
303,1.30420
304,1.30145
305,1.32098
306,1.30719
307,1.29810
308,0.92163
309,1.31299
310,1.30023
311,1.34009
312,1.32654
313,1.32965
314,1.34814
315,1.33618
316,1.34296
317,1.35022
318,1.36072
319,1.37201
320,1.34644
321,1.35663
322,1.35712
323,1.35797
324,1.36566
325,1.37543
326,1.37793
327,1.35388
328,1.32819
329,1.36475
330,1.35370
331,1.34668
332,1.34540
333,1.33240
334,1.31287
335,1.32440
336,0.88135
337,1.22974
338,1.22797
339,1.22925
340,1.01471
341,1.17615
342,1.21027
343,1.22302
344,1.22858
345,1.24207
346,1.23352
347,1.23566
348,1.29675
349,1.24933
350,1.25769
351,1.24072
352,1.25635
353,1.26514
354,1.26666
355,1.26630
356,1.24390
357,1.28302
358,1.31067
359,1.24548
360,1.23676
361,1.23718
362,1.19812
363,1.24030
364,1.24670
365,1.24823
366,1.21777
367,1.19427
368,1.20007
369,1.19080
370,1.20215
371,1.21429
372,1.21149
373,1.19940
374,1.21002
375,1.20349
376,1.21185
377,1.19446
378,1.17944
379,1.17188
380,1.17932
381,1.20660
382,1.17969
383,1.19714
384,1.21674
385,1.18506
386,1.19965
387,1.20148
388,1.19958
389,1.22211
390,1.22687
391,1.22296
392,1.22424
393,1.23651
394,1.22449
395,1.22681
396,1.23199
397,1.08716
398,1.31165
399,1.91815
400,0.30933
401,1.36877
